Molecule_ID,BindingDB_ID,SMILES,Target_Class,Specific_Target,MW,logP,TPSA,HBD,HBA,nRotB,nArom,MW_normalized,logP_normalized,TPSA_normalized,HBD_normalized,HBA_normalized,nRotB_normalized,nArom_normalized,pActivity,Ki_M,Assay_Type,Temperature_C,pH,Scaffold_ID,Cluster_ID,Split,Date_Added
Protease_0086,BDBM402417,c1cc(ccc1S(=O)(=O)N)CC(=O)NS,Protease,Thrombin,246.313,-0.16249999999999992,89.25999999999999,3,4,3,1,0.46069632824003326,-1.6157907020822255,1.3037697165556401,1.4393194680678412,0.9991671219254472,-0.06634595935939212,-0.4885292248583149,8.113437432453077,7.907234459320897e-09,Direct_Binding,37,6.884515813706266,Scaffold_077,Cluster_157,Train,2024-01-01 00:00:00
GPCR_0070,BDBM488796,C1CC(CCC1N)c2ccccc2C(C)C,GPCR,Serotonin_5HT2A,217.35600000000002,3.794900000000002,26.02,1,1,2,1,-0.41584081515009685,1.4428495390236529,-1.3869856586574083,-0.811212437284188,-1.6369702457217434,-0.7194993845091349,-0.4885292248583149,8.455445634283034,7.478148386917654e-09,Functional,25,7.167212337194181,Scaffold_143,Cluster_100,Train,2024-01-01 01:00:00
Kinase_0211,BDBM559713,c1cc(ccc1N)c2ncnc3c2cc(cc3)F,Kinase,CDK2,239.25300000000001,3.0181000000000004,51.8,1,3,1,3,0.24698799407785127,0.8424675358672751,-0.2900901246126204,-0.811212437284188,0.12045466604305038,-1.3726528096588775,1.4277904424775893,7.771862576603975,2.510847297820054e-08,Direct_Binding,37,7.450531052586204,Scaffold_062,Cluster_079,Train,2024-01-01 02:00:00
GPCR_0162,BDBM589478,c1ccc2c(c1)OCCn2OCCF,GPCR,Dopamine_D2,197.20899999999995,1.7864999999999998,21.700000000000003,0,3,3,1,-1.0256965953718409,-0.10942545471896845,-1.5707943749907476,-1.9364783899602027,0.12045466604305038,-0.06634595935939212,-0.4885292248583149,8.288678620061207,4.376259256656094e-09,Enzymatic,25,7.4106057172144215,Scaffold_101,Cluster_128,Train,2024-01-01 03:00:00
Protease_0248,BDBM177667,c1cc(ccc1S(=O)(=O)N)CC(C)CC(=O)OC(=O)N,Protease,Thrombin,300.336,0.5246000000000003,129.55,2,5,5,1,2.0959888688127815,-1.0847370533068048,3.0180412862478256,0.3140535153918265,1.877879577807844,1.2399608909400932,-0.4885292248583149,8.279278911502649,5.000291604098838e-09,Direct_Binding,37,7.191643401973318,Scaffold_183,Cluster_074,Train,2024-01-01 04:00:00
GPCR_0085,BDBM205043,C1CC(CCC1N)c2ccccc2OCC,GPCR,Adrenergic_Beta2,219.328,3.0702000000000016,35.25,1,2,3,1,-0.35614777903567474,0.8827351753683665,-0.9942647207507601,-0.811212437284188,-0.7582577898393464,-0.06634595935939212,-0.4885292248583149,8.617980868968303,2.0205199243429145e-09,Functional,37,6.861403779067186,Scaffold_256,Cluster_176,Train,2024-01-01 05:00:00
Protease_0175,BDBM173234,C1CCC(CC1)NC(=O)C(C)NC(=O)O,Protease,Factor_Xa,214.26500000000001,1.0914,78.43,3,2,3,0,-0.5094063195262029,-0.6466622343198919,0.8429714763033114,1.4393194680678412,-0.7582577898393464,-0.06634595935939212,-1.446689058526267,7.880903719795463,9.475373080936941e-09,Enzymatic,37,7.454666356879069,Scaffold_236,Cluster_179,Train,2024-01-01 06:00:00
Kinase_0200,BDBM120337,c1cc(ccc1N)c2ncnc3c2cc(cc3),Kinase,EGFR,221.26300000000003,2.8790000000000004,51.8,1,3,1,3,-0.29757474410595375,0.7349583486388352,-0.2900901246126204,-0.811212437284188,0.12045466604305038,-1.3726528096588775,1.4277904424775893,7.502078455325407,1.667420149376693e-08,Functional,20,6.943380014379188,Scaffold_007,Cluster_015,Train,2024-01-01 07:00:00
Kinase_0216,BDBM258003,c1ccc2c(c1)ncc(n2)c3ccccc3CCC,Kinase,VEGFR2,248.32899999999995,4.2493000000000025,25.78,0,2,3,3,0.5217212576551823,1.7940513699122445,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-0.06634595935939212,1.4277904424775893,8.195082383073991,7.9946317839595e-09,Functional,25,6.570932216133773,Scaffold_269,Cluster_136,Train,2024-01-01 08:00:00
GPCR_0139,BDBM205335,C1CN(CCN1)c2ccc(cc2)S(=O)(=O)N,GPCR,Dopamine_D2,241.31599999999997,-0.2563999999999994,75.43,2,4,2,1,0.3094356277005955,-1.6883652001465705,0.7153265344051591,0.3140535153918265,0.9991671219254472,-0.7194993845091349,-0.4885292248583149,8.84606689968287,1.350146687895592e-09,Direct_Binding,20,7.420739650342635,Scaffold_117,Cluster_011,Train,2024-01-01 09:00:00
