Method,Hyperparameter,Search_Range,Best_Value,Best_CV_R2,Test_R2,Training_Time
SVR,C,0.1 - 100.0,10.0,0.875 ± 0.012,0.862,18.4s
SVR,gamma,0.001 - 1.0,0.1,0.875 ± 0.012,0.862,18.4s
SVR,epsilon,0.01 - 1.0,0.1,0.875 ± 0.012,0.862,18.4s
RF,n_estimators,100 - 1000,1000,0.881 ± 0.014,0.874,74.5s
RF,max_depth,10 - 30,15,0.879 ± 0.014,0.873,38.2s
RF,min_samples_leaf,2 - 10,4,0.879 ± 0.014,0.873,38.2s
GBM,n_estimators,100.0 - 500.0,500.0,0.883 ± 0.012,0.879,68.9s
GBM,learning_rate,0.01 - 0.3,0.05,0.885 ± 0.011,0.879,42.7s
GBM,max_depth,4.0 - 10.0,6.0,0.885 ± 0.011,0.879,42.7s
GBM,subsample,0.6 - 1.0,0.8,0.885 ± 0.011,0.879,42.7s
NN,hidden_layers,"[128,64,32] - [64,32]","[64,32,16]",0.854 ± 0.019,0.849,412.0s
NN,learning_rate,0.0001 - 0.1,0.001,0.854 ± 0.019,0.847,287.0s
NN,dropout,0.1 - 0.7,0.3,0.854 ± 0.019,0.847,287.0s
NN,batch_size,16 - 128,32,0.854 ± 0.019,0.847,287.0s
