Method,Hyperparameter,Value,CV_R2_Mean,CV_R2_Std,Test_R2,Training_Time_sec
SVR,C,0.1,0.782,0.023,0.774,12.3
SVR,C,1.0,0.841,0.018,0.835,15.7
SVR,C,10.0,0.875,0.012,0.862,18.4
SVR,C,100.0,0.863,0.019,0.851,21.8
SVR,gamma,0.001,0.798,0.021,0.791,14.2
SVR,gamma,0.01,0.854,0.016,0.847,16.1
SVR,gamma,0.1,0.875,0.012,0.862,18.4
SVR,gamma,1.0,0.821,0.025,0.813,19.7
SVR,epsilon,0.01,0.869,0.014,0.856,17.2
SVR,epsilon,0.1,0.875,0.012,0.862,18.4
SVR,epsilon,0.5,0.858,0.017,0.849,19.1
SVR,epsilon,1.0,0.847,0.02,0.839,20.3
RF,n_estimators,100,0.841,0.021,0.834,8.7
RF,n_estimators,300,0.867,0.016,0.859,24.3
RF,n_estimators,500,0.879,0.014,0.873,38.2
RF,n_estimators,1000,0.881,0.014,0.874,74.5
RF,max_depth,10,0.852,0.019,0.845,32.1
RF,max_depth,15,0.879,0.014,0.873,38.2
RF,max_depth,20,0.874,0.016,0.867,44.7
RF,max_depth,30,0.869,0.018,0.862,58.3
RF,min_samples_leaf,2,0.871,0.015,0.864,35.4
RF,min_samples_leaf,4,0.879,0.014,0.873,38.2
RF,min_samples_leaf,6,0.875,0.016,0.868,41.6
RF,min_samples_leaf,10,0.868,0.019,0.861,47.8
GBM,n_estimators,100.0,0.854,0.019,0.847,15.3
GBM,n_estimators,300.0,0.881,0.013,0.875,42.7
GBM,n_estimators,500.0,0.883,0.012,0.879,68.9
GBM,learning_rate,0.01,0.867,0.016,0.861,38.2
GBM,learning_rate,0.05,0.885,0.011,0.879,42.7
GBM,learning_rate,0.1,0.876,0.014,0.87,45.3
GBM,learning_rate,0.3,0.862,0.018,0.856,51.8
GBM,max_depth,4.0,0.874,0.015,0.868,39.4
GBM,max_depth,6.0,0.885,0.011,0.879,42.7
GBM,max_depth,8.0,0.881,0.013,0.875,48.2
GBM,max_depth,10.0,0.873,0.016,0.867,55.7
GBM,subsample,0.6,0.877,0.014,0.871,40.1
GBM,subsample,0.8,0.885,0.011,0.879,42.7
GBM,subsample,0.9,0.882,0.012,0.876,44.3
GBM,subsample,1.0,0.878,0.015,0.872,46.8
NN,hidden_layers,"[32,16]",0.823,0.028,0.816,145.0
NN,hidden_layers,"[64,32]",0.851,0.021,0.847,287.0
NN,hidden_layers,"[64,32,16]",0.854,0.019,0.849,412.0
NN,hidden_layers,"[128,64,32]",0.849,0.023,0.842,634.0
NN,learning_rate,0.0001,0.827,0.026,0.821,268.0
NN,learning_rate,0.001,0.854,0.019,0.847,287.0
NN,learning_rate,0.01,0.841,0.024,0.835,305.0
NN,learning_rate,0.1,0.798,0.035,0.792,342.0
NN,dropout,0.1,0.842,0.023,0.836,275.0
NN,dropout,0.3,0.854,0.019,0.847,287.0
NN,dropout,0.5,0.847,0.022,0.841,298.0
NN,dropout,0.7,0.834,0.026,0.828,315.0
NN,batch_size,16,0.845,0.022,0.839,312.0
NN,batch_size,32,0.854,0.019,0.847,287.0
NN,batch_size,64,0.851,0.021,0.844,245.0
NN,batch_size,128,0.843,0.024,0.837,198.0
