Ensemble_Type,Models,Strategy,Weights,R2_Mean,R2_Std,MSE_Mean,MSE_Std,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,Improvement_vs_Best_Single,Statistical_Significance
2-Model,VQR + SVR,Simple Average,"[0.5, 0.5]",0.901,0.011,0.064,0.008,0.198,0.019,0.253,0.016,+1.4%,p<0.01
2-Model,VQR + SVR,Weighted Average,"[0.7, 0.3]",0.908,0.01,0.059,0.007,0.191,0.018,0.243,0.014,+2.7%,p<0.001
2-Model,VQR + SVR,Stacking (Ridge),Learned,0.912,0.009,0.057,0.007,0.188,0.017,0.239,0.013,+3.4%,p<0.001
2-Model,VQR + RF,Simple Average,"[0.5, 0.5]",0.905,0.01,0.062,0.008,0.195,0.018,0.249,0.015,+2.0%,p<0.01
2-Model,VQR + RF,Weighted Average,"[0.65, 0.35]",0.911,0.009,0.058,0.007,0.189,0.017,0.241,0.014,+3.1%,p<0.001
2-Model,VQR + RF,Stacking (Ridge),Learned,0.915,0.008,0.055,0.006,0.185,0.016,0.235,0.012,+3.8%,p<0.001
2-Model,VQR + GBM,Simple Average,"[0.5, 0.5]",0.909,0.009,0.06,0.007,0.193,0.017,0.245,0.014,+2.8%,p<0.001
2-Model,VQR + GBM,Weighted Average,"[0.6, 0.4]",0.916,0.008,0.055,0.006,0.186,0.016,0.234,0.012,+4.0%,p<0.001
2-Model,VQR + GBM,Stacking (Ridge),Learned,0.919,0.007,0.053,0.006,0.183,0.015,0.23,0.012,+4.6%,p<0.001
2-Model,VQR + NN,Simple Average,"[0.5, 0.5]",0.896,0.012,0.068,0.009,0.204,0.02,0.261,0.017,+0.8%,p<0.05
2-Model,VQR + NN,Weighted Average,"[0.75, 0.25]",0.907,0.01,0.06,0.008,0.193,0.018,0.245,0.015,+2.6%,p<0.01
2-Model,VQR + NN,Stacking (Ridge),Learned,0.91,0.009,0.058,0.007,0.19,0.017,0.241,0.014,+3.0%,p<0.001
3-Model,VQR + SVR + RF,Simple Average,"[0.33, 0.33, 0.33]",0.913,0.009,0.057,0.007,0.188,0.017,0.239,0.013,+3.5%,p<0.001
3-Model,VQR + SVR + RF,Weighted Average,"[0.5, 0.25, 0.25]",0.917,0.008,0.054,0.006,0.184,0.016,0.233,0.012,+4.2%,p<0.001
3-Model,VQR + SVR + RF,Stacking (Ridge),Learned,0.921,0.007,0.052,0.006,0.181,0.015,0.228,0.011,+5.0%,p<0.001
3-Model,VQR + SVR + GBM,Simple Average,"[0.33, 0.33, 0.33]",0.916,0.008,0.055,0.006,0.186,0.016,0.235,0.012,+4.0%,p<0.001
3-Model,VQR + SVR + GBM,Weighted Average,"[0.5, 0.2, 0.3]",0.92,0.007,0.052,0.006,0.182,0.015,0.229,0.011,+4.8%,p<0.001
3-Model,VQR + SVR + GBM,Stacking (Ridge),Learned,0.924,0.007,0.05,0.005,0.179,0.014,0.224,0.011,+5.4%,p<0.001
3-Model,VQR + RF + GBM,Simple Average,"[0.33, 0.33, 0.33]",0.918,0.008,0.054,0.006,0.184,0.016,0.232,0.012,+4.4%,p<0.001
3-Model,VQR + RF + GBM,Weighted Average,"[0.5, 0.25, 0.25]",0.922,0.007,0.051,0.006,0.18,0.015,0.226,0.011,+5.2%,p<0.001
3-Model,VQR + RF + GBM,Stacking (Ridge),Learned,0.927,0.006,0.048,0.005,0.175,0.014,0.219,0.01,+6.0%,p<0.001
3-Model,VQR + GBM + NN,Simple Average,"[0.33, 0.33, 0.33]",0.912,0.009,0.058,0.007,0.19,0.017,0.241,0.013,+3.3%,p<0.001
3-Model,VQR + GBM + NN,Weighted Average,"[0.5, 0.35, 0.15]",0.918,0.008,0.054,0.006,0.184,0.016,0.232,0.012,+4.4%,p<0.001
3-Model,VQR + GBM + NN,Stacking (Ridge),Learned,0.92,0.007,0.052,0.006,0.182,0.015,0.228,0.011,+4.8%,p<0.001
4-Model,VQR + SVR + RF + GBM,Simple Average,"[0.25, 0.25, 0.25, 0.25]",0.92,0.007,0.052,0.006,0.182,0.015,0.228,0.011,+4.8%,p<0.001
4-Model,VQR + SVR + RF + GBM,Weighted Average,"[0.4, 0.2, 0.2, 0.2]",0.924,0.007,0.05,0.005,0.178,0.014,0.224,0.011,+5.4%,p<0.001
4-Model,VQR + SVR + RF + GBM,Stacking (Ridge),Learned,0.929,0.006,0.047,0.005,0.173,0.013,0.217,0.01,+6.4%,p<0.001
5-Model,VQR + SVR + RF + GBM + NN,Simple Average,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.918,0.008,0.054,0.006,0.184,0.016,0.232,0.012,+4.4%,p<0.001
5-Model,VQR + SVR + RF + GBM + NN,Weighted Average,"[0.35, 0.2, 0.2, 0.2, 0.05]",0.923,0.007,0.05,0.006,0.179,0.015,0.224,0.011,+5.3%,p<0.001
5-Model,VQR + SVR + RF + GBM + NN,Stacking (Ridge),Learned,0.927,0.006,0.048,0.005,0.175,0.014,0.219,0.01,+6.0%,p<0.001
3-Model,VQR + RF + GBM,Stacking (Lasso),Learned (L1),0.925,0.007,0.049,0.005,0.177,0.014,0.221,0.011,+5.6%,p<0.001
3-Model,VQR + RF + GBM,Stacking (ElasticNet),Learned (L1+L2),0.926,0.007,0.048,0.005,0.176,0.014,0.22,0.01,+5.8%,p<0.001
3-Model,VQR + RF + GBM,Stacking (XGBoost),Learned (Tree),0.928,0.006,0.047,0.005,0.174,0.013,0.217,0.01,+6.2%,p<0.001
